interview__key,sdd_hhid,plot_id,plotname,hh_b1b01,hh_b1b02,hh_b1b03,hh_b1b04,hh_b1b05,hh_b1b06,hh_b1b07,hh_b1b08,hh_b1b09,hh_b1b10,hh_b1b11,hh_b1b12,hh_b1b13,hh_b1b16,hh_b1b17,hh_b1b18,hh_b1b19,hh_b1b20,hh_b1b21,hh_b1b22
87-21-83-42,0797-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,STATE,RESIDENTIAL,NO,
87-24-38-48,0593-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,MOVED IN WITHOUT PERMISSION,,,,,,,,**CONFIDENTIAL**,,,,,,
87-24-38-48,0593-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,YES,
87-27-18-80,0128-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,CULTIVATED,,,,**CONFIDENTIAL**,,,,,,
87-27-18-80,0128-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,PURCHASED,FREEHOLD,RESIDENTIAL,YES,CULTIVATED,,,,**CONFIDENTIAL**,,,,,,
87-29-04-68,0377-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,PURCHASED,CUSTOMARY,OTHER(SPECIFY),NO,,,,,**CONFIDENTIAL**,,,,,,
87-29-04-68,0377-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
87-62-36-12,0613-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
87-62-36-12,0613-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,STOPPED RENTING/SHARECROPPING,,,**CONFIDENTIAL**,,,,,,
87-62-36-12,0613-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
87-68-89-36,0729-001-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
87-68-89-36,0729-001-002,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
87-96-65-49,0178-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, SHORT-TERM (< 3 YEARS)",,RESIDENTIAL,NO,
88-13-25-26,0235-001-002,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
88-15-45-24,0328-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,TAKEN,,0,**CONFIDENTIAL**,,,,,,
88-15-45-24,0328-001-001,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,ALLOCATED BY FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,
88-15-45-24,0328-001-001,3,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, SHORT-TERM (< 3 YEARS)",,RESIDENTIAL,NO,
88-18-02-06,0366-001-001,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,PURCHASED,CUSTOMARY,RESIDENTIAL,NO,
88-19-63-23,0097-001-001,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,NO,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,AGRICULTURAL,YES,,,,,**CONFIDENTIAL**,,,,,,
88-19-63-23,0097-001-001,2,**CONFIDENTIAL**,M2,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,SOLD IT,250000,,**CONFIDENTIAL**,,,,,,
88-19-63-23,0097-001-001,3,**CONFIDENTIAL**,M3,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,GIVEN AWAY,,0,**CONFIDENTIAL**,,,,,,
88-19-63-23,0097-001-001,4,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,INHERITED BY THE DEATH OF A FAMILY MEMBER,FREEHOLD,RESIDENTIAL,NO,
88-48-93-24,0174-002-003,1,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,YES,"RENTED IN, SHORT-TERM (< 3 YEARS)",,RESIDENTIAL,NO,
88-48-93-24,0174-002-003,2,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,,,,,,,,,,,**CONFIDENTIAL**,NO,"RENTED IN, SHORT-TERM (< 3 YEARS)",,AGRICULTURAL,YES,
88-54-76-45,0159-001-002,1,**CONFIDENTIAL**,M1,**CONFIDENTIAL**,**CONFIDENTIAL**,NO,,,,,,,TAKEN,,3600000,**CONFIDENTIAL**,,,,,,
