sdd_hhid,foodbev,alctob,foodIN,foodOUT,utilities,clothing,hhexpenses,health,transport,communic,recreat,educa,other,expm,fisherb4c4,foodbevR,alctobR,foodINR,foodOUTR,utilitiesR,clothingR,hhexpensesR,healthR,transportR,communicR,recreatR,educaR,otherR,expmR,region,quarter,urban,area,mainland,hhsize,adulteq
0101-002-001,3375840,109200,937040,2548000,339600,19800,62000,0,0,0,0,27400,168000,4082040,1.09682285785675,3077835.25,99560.2890625,854322.0625,2323073.5,309621.5625,18052.140625,56526.90234375,0,0,0,0,24981.244140625,153169.671875,3721694.75,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,5,3.479999989271164
0101-003-001,1872000,0,1014000,858000,285600,160000,39200,585000,208000,120000,0,24000,42000,3175800,1.09682285785675,1706747.75,0,924488.375,782259.4375,260388.453125,145875.875,35739.58984375,533358.6875,189638.640625,109406.9140625,0,21881.3828125,38292.41796875,2895454,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,4,2.8400000035762787
0102-001-001,5764200,0,3294200,2470000,250400,379500,36000,559000,476000,144000,0,215000,409000,7853600,1.09682285785675,5255361,0,3003402,2251959,228295.75,345999.34375,32822.07421875,509653.84375,433980.75,131288.296875,0,196020.71875,372895.21875,7160317.5,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,6,5.400000035762787
0102-001-003,5172700,0,4444700,728000,723200,175000,38000,2219000,1092000,72000,0,150000,354000,9820900,1.09796249866486,4711181,0,4048134.5,663046.3125,658674.5625,159386.140625,34609.5625,2021016.25,994569.5,65576.0078125,0,136616.6875,322415.375,8944659,7,Oct-Dec 2019,Urban,Dar es Salaam,Mainland,6,4.96000000834465
0103-001-001,4234360,0,4234360,0,509200,180000,95000,240500,1456000,18000,0,132000,424000,7109060,0.969407081604004,4367989.5,0,4367989.5,0,525269.5,185680.515625,97998.046875,248089.796875,1501949,18568.05078125,0,136165.703125,437380.75,7333410.5,4,Jul-Sep 2019,Rural,Rural,Mainland,4,4.080000042915344
0104-001-001,10276067,0,3672066.75,6604000,276000,296000,144000,0,612000,288000,0,756000,150000,12502067,1.09682285785675,9368940,0,3347912.25,6021027,251635.890625,269870.375,131288.296875,0,557975.25,262576.59375,0,689263.5625,136758.640625,11398438,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,7,7.040000081062317
0104-001-006,3567200,0,2693600,873600,191200,127000,311800,58500,156000,192000,13000,0,132000,4621700,1.09682285785675,3252302.75,0,2455820.5,796482.3125,174321.671875,115788.9765625,284275.625,53335.8671875,142228.984375,175051.0625,11852.4150390625,0,120347.6015625,4213716,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,3,2.280000001192093
0104-008-001,3123200,0,1407200,1716000,77200,280000,14000,13000,0,180000,3000,0,48000,3458400,1.09682285785675,2847497.25,0,1282978.375,1564518.875,70385.109375,255282.796875,12764.1396484375,11852.4150390625,0,164110.359375,2735.1728515625,0,43762.765625,3153107.25,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,2,1.8799999952316284
0105-001-001,1181553.5,0,1181553.5,0,125200,169000,34000,0,936000,36000,0,0,142000,2454753.5,1.09682285785675,1077251,0,1077251,0,114147.875,154081.40625,30998.625,0,853373.875,32822.07421875,0,0,129464.84375,2238058.25,4,Jul-Sep 2019,Urban,Rest of urban,Mainland,3,2.600000023841858
0105-005-001,3330600,0,1874600,1456000,13600,261000,9600,93600,208000,18000,0,47000,138000,3858400,0.969407081604004,3435708.25,0,1933759.375,1501949,14029.1943359375,269236.75,9902.9609375,96553.8671875,214564.140625,18568.05078125,0,48483.2421875,142355.0625,3980164.75,4,Jul-Sep 2019,Rural,Rural,Mainland,5,4
