"interview__key","sdd_hhid","plotnum","plotname","plotid_nps4","ag3a_72a","ag3a_72b_1","ag3a_72b_2","ag3a_72b_3","ag3a_72b_4","ag3a_72b_5","ag3a_72b_6","ag3a_72b_7","ag3a_72b_8","ag3a_72b_9","ag3a_72b_10","ag3a_72c_1","ag3a_72c_2","ag3a_72c_3","ag3a_72c_4","ag3a_72c_5","ag3a_72c_6","ag3a_72c_7","ag3a_72c_8","ag3a_72c_9","ag3a_72c_10","ag3a_72d_1","ag3a_72d_2","ag3a_72d_3","ag3a_72d_4","ag3a_72d_5","ag3a_72d_6","ag3a_72d_7","ag3a_72d_8","ag3a_72d_9","ag3a_72d_10","ag3a_72e","ag3a_72f_1","ag3a_72f_2","ag3a_72f_3","ag3a_72f_4","ag3a_72f_5","ag3a_72f_6","ag3a_72f_7","ag3a_72f_8","ag3a_72f_9","ag3a_72f_10","ag3a_72g_1","ag3a_72g_2","ag3a_72g_3","ag3a_72g_4","ag3a_72g_5","ag3a_72g_6","ag3a_72g_7","ag3a_72g_8","ag3a_72g_9","ag3a_72g_10","ag3a_72h_1","ag3a_72h_2","ag3a_72h_3","ag3a_72h_4","ag3a_72h_5","ag3a_72h_6","ag3a_72h_7","ag3a_72h_8","ag3a_72h_9","ag3a_72h_10","ag3a_72i","ag3a_72j_1","ag3a_72j_2","ag3a_72j_3","ag3a_72j_4","ag3a_72j_5","ag3a_72j_6","ag3a_72j_7","ag3a_72j_8","ag3a_72j_9","ag3a_72j_10","ag3a_72k_1","ag3a_72k_2","ag3a_72k_3","ag3a_72k_4","ag3a_72k_5","ag3a_72k_6","ag3a_72k_7","ag3a_72k_8","ag3a_72k_9","ag3a_72k_10","ag3a_72l_1","ag3a_72l_2","ag3a_72l_3","ag3a_72l_4","ag3a_72l_5","ag3a_72l_6","ag3a_72l_7","ag3a_72l_8","ag3a_72l_9","ag3a_72l_10"
"58-42-71-45","0015-001-001",2,"**CONFIDENTIAL**","M2",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",3,"**CONFIDENTIAL**","M3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",4,"**CONFIDENTIAL**","M4",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,,,,,,,,,1,1,,,,,,,,,6,6,,,,,,,,
"58-42-71-45","0015-001-001",5,"**CONFIDENTIAL**","M5",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",6,"**CONFIDENTIAL**","M6",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",7,"**CONFIDENTIAL**","M7",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58-42-71-45","0015-001-001",8,"**CONFIDENTIAL**","M8",1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,1,2,8,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,
"89-06-03-18","0016-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"89-06-03-18","0016-001-001",2,"**CONFIDENTIAL**","M2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"73-26-58-64","0016-001-002",1,"**CONFIDENTIAL**",,1,1,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,
"73-26-58-64","0016-001-002",2,"**CONFIDENTIAL**",,1,1,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,
"73-26-58-64","0016-001-002",3,"**CONFIDENTIAL**",,1,1,,,,,,,,,,8,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,6,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,4,,,,,,,,,
"56-32-76-33","0017-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-32-76-33","0017-001-001",2,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56-32-76-33","0017-001-001",3,"**CONFIDENTIAL**",,1,1,2,,,,,,,,,3,3,,,,,,,,,6,6,,,,,,,,,1,1,2,,,,,,,,,5,4,,,,,,,,,4,4,,,,,,,,,1,1,2,,,,,,,,,3,2,,,,,,,,,8,8,,,,,,,,
"82-18-18-76","0017-002-001",1,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-47-88-39","0018-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,,,,,,,,,18,16,,,,,,,,,8,8,,,,,,,,,1,1,2,,,,,,,,,18,12,,,,,,,,,8,8,,,,,,,,,1,1,2,,,,,,,,,21,16,,,,,,,,,7,6,,,,,,,,
"39-47-88-39","0018-001-001",2,"**CONFIDENTIAL**","M2",1,1,2,,,,,,,,,8,9,,,,,,,,,8,8,,,,,,,,,1,1,2,,,,,,,,,8,8,,,,,,,,,7,7,,,,,,,,,1,1,2,,,,,,,,,5,5,,,,,,,,,8,8,,,,,,,,
"39-47-88-39","0018-001-001",3,"**CONFIDENTIAL**",,1,1,2,,,,,,,,,10,9,,,,,,,,,7,7,,,,,,,,,1,1,2,,,,,,,,,8,9,,,,,,,,,8,6,,,,,,,,,1,1,2,,,,,,,,,4,4,,,,,,,,,5,5,,,,,,,,
"39-47-88-39","0018-001-001",4,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39-47-88-39","0018-001-001",5,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40-73-12-41","0020-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,3,4,,,,,,,6,5,5,4,,,,,,,5,5,5,4,,,,,,,1,1,2,3,4,,,,,,,6,6,5,4,,,,,,,6,5,5,4,,,,,,,1,1,2,3,,,,,,,,4,4,3,,,,,,,,5,5,4,,,,,,,
"40-73-12-41","0020-001-001",2,"**CONFIDENTIAL**","M2",1,1,2,3,4,,,,,,,15,12,10,6,,,,,,,6,6,5,4,,,,,,,1,1,2,3,4,,,,,,,6,5,4,3,,,,,,,5,5,4,4,,,,,,,1,1,2,3,4,,,,,,,2,2,2,1,,,,,,,6,5,4,4,,,,,,
"40-73-12-41","0020-001-001",3,"**CONFIDENTIAL**",,1,1,2,4,,,,,,,,2,3,2,,,,,,,,4,4,3,,,,,,,,1,2,3,4,,,,,,,,3,2,2,,,,,,,,2,2,2,,,,,,,,1,2,4,,,,,,,,,6,3,,,,,,,,,0,0,,,,,,,,
"52-25-14-40","0023-001-001",1,"**CONFIDENTIAL**","M1",1,1,,,,,,,,,,14,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,14,,,,,,,,,,10,,,,,,,,,,1,1,,,,,,,,,,21,,,,,,,,,,10,,,,,,,,,
"52-25-14-40","0023-001-001",2,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"52-25-14-40","0023-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"96-43-78-97","0024-001-001",1,"**CONFIDENTIAL**","M1",1,1,2,5,,,,,,,,1,1,1,,,,,,,,9,9,9,,,,,,,,1,1,2,,,,,,,,,5,2,,,,,,,,,5,6,,,,,,,,,1,1,2,,,,,,,,,4,2,,,,,,,,,10,8,,,,,,,,
"06-46-18-18","0026-001-001",1,"**CONFIDENTIAL**",,1,2,,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,,1,2,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,1,2,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,
"73-00-55-05","0028-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-25-71-90","0029-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-25-71-90","0029-001-001",2,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38-25-71-90","0029-001-001",3,"**CONFIDENTIAL**",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28-47-21-26","0030-001-001",1,"**CONFIDENTIAL**","M1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
