interview__key,sdd_hhid,sdd_indid,hh_g301,hh_g302
70-24-33-41,0096-001-001,6,,
42-11-56-10,0096-002-002,2,NO,
42-11-56-10,0096-002-002,3,NO,
42-11-56-10,0096-002-002,4,YES,1
42-11-56-10,0096-002-002,5,,
42-11-56-10,0096-002-002,6,,
88-19-63-23,0097-001-001,1,NO,
88-19-63-23,0097-001-001,5,NO,
93-47-38-83,0097-001-003,1,,
93-47-38-83,0097-001-003,2,YES,1
93-47-38-83,0097-001-003,5,,
93-47-38-83,0097-001-003,6,,
93-47-38-83,0097-001-003,7,,
93-47-38-83,0097-001-003,8,,
93-47-38-83,0097-001-003,9,,
93-47-38-83,0097-001-003,10,,
76-46-87-39,0098-001-001,1,YES,1
76-46-87-39,0098-001-001,2,YES,1
76-46-87-39,0098-001-001,3,,
89-69-28-73,0099-001-001,1,YES,1
89-69-28-73,0099-001-001,2,YES,1
89-69-28-73,0099-001-001,3,,
89-69-28-73,0099-001-001,5,,
89-69-28-73,0099-001-001,7,,
33-12-11-68,0099-001-004,1,YES,1
33-12-11-68,0099-001-004,2,YES,1
33-12-11-68,0099-001-004,3,,
25-01-61-44,0099-001-006,1,NO,
25-01-61-44,0099-001-006,2,,
25-01-61-44,0099-001-006,3,,
42-94-75-73,0099-008-001,1,NO,
42-94-75-73,0099-008-001,2,NO,
42-94-75-73,0099-008-001,3,,
42-94-75-73,0099-008-001,4,,
42-94-75-73,0099-008-001,5,,
73-19-77-82,0100-001-001,1,NO,
73-19-77-82,0100-001-001,2,YES,1
73-19-77-82,0100-001-001,3,,
73-19-77-82,0100-001-001,4,,
07-74-53-75,0101-001-001,1,YES,1
07-74-53-75,0101-001-001,3,NO,
07-74-53-75,0101-001-001,5,YES,1
07-74-53-75,0101-001-001,6,,
07-74-53-75,0101-001-001,7,,
07-74-53-75,0101-001-001,8,,
28-26-05-62,0101-001-002,1,YES,2
09-18-15-86,0101-002-001,1,YES,1
09-18-15-86,0101-002-001,4,YES,1
09-18-15-86,0101-002-001,5,,
09-18-15-86,0101-002-001,6,,
