interview__key,sdd_hhid,cropid,ag7a_02,ag7a_03,ag7a_04,ag7a_05_1,ag7a_05_2,ag7a_06_1,ag7a_06_2,ag7a_07_1a,ag7a_07_1b,ag7a_07_2a,ag7a_07_2b,ag7a_08,ag7a_09,ag7a_10,ag7a_11,ag7a_12,ag7a_13,ag7a_14,ag7a_15,ag7a_16,ag7a_17,ag7a_18,ag7a_19,ag7a_20,ag7a_21
93-47-38-83,0097-001-003,57,YES,200,60000,1,2,1,2,DUKANI/MCHUUZI,KARIBU NA KIJIJI,DUKANI/MCHUUZI,KARIBU NA KIJIJI,NO,,,,,NO,,,,100,0,0,0,0
89-69-28-73,0099-001-001,57,YES,1300,45000,1,2,1,,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,KARIBU NA MJI,NO,,,,,NO,,,,150,0,0,50,0
25-01-61-44,0099-001-006,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,25,0
09-18-15-86,0101-002-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,300,0
61-86-51-55,0104-001-001,55,YES,120,30000,2,,2,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,120,0,0,0,0
72-82-51-97,0106-001-003,55,NO,,,,,,,,,,,NO,,,,,NO,,,,24,0,0,18,0
72-82-51-97,0106-001-003,57,YES,65,20000,3,,3,,JIRANI,NDANI YA KIJIJI/MJI,JIRANI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,40,0,0,25,0
72-82-51-97,0106-001-003,85,NO,,,,,,,,,,,NO,,,,,NO,,,,40,0,0,10,0
72-82-51-97,0106-001-003,88,NO,,,,,,,,,,,NO,,,,,NO,,,,100,0,0,200,0
51-54-44-86,0108-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,90,90
51-54-44-86,0108-001-001,60,NO,,,,,,,,,,,NO,,,,,NO,,,,30,0,0,0,0
47-69-21-93,0109-001-001,57,YES,120,60000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,60,0
09-03-93-64,0111-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,20000,20,0,0,5,0
49-60-00-77,0112-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,6,0,0,0,0
80-23-77-43,0113-001-001,57,YES,140,60000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,40,0
86-56-84-14,0113-002-001,57,YES,240,50000,1,,1,,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,M/BIASHARA BINAFSI,KARIBU NA KIJIJI,NO,,,,,NO,,,,60,0,0,60,0
95-71-62-51,0114-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,60,0,0,20,0
95-71-62-51,0114-001-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,2,25000,50,0,0,40,0
35-20-92-57,0115-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,50,0,0,25,0
61-11-91-19,0118-001-001,55,YES,80,60000,1,2,1,2,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,NO,,,,,NO,,,,180,0,0,20,0
61-11-91-19,0118-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,190,0,0,10,0
61-11-91-19,0118-001-001,58,NO,,,,,,,,,,,NO,,,,,NO,,,,4,0,0,3,0
98-32-46-89,0120-001-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,150,0,0,80,0
98-32-46-89,0120-001-001,57,NO,,,,,,,,,,,NO,,,,,NO,,,,70,0,0,80,0
11-41-50-08,0121-002-001,55,NO,,,,,,,,,,,NO,,,,,NO,,,,20,0,0,0,0
11-41-50-08,0121-002-001,57,NO,,,,,,,,,,,NO,,,,,YES,ROTTING,3,35000,45,0,0,0,0
