interview__key,sdd_hhid,sdd_indid,hh_f01,hh_f02,hh_f03,hh_f04,hh_f05,hh_f06,hh_f07,hh_f08,hh_f09,hh_f10,hh_f11,hh_f12,hh_f13,hh_f14,hh_f15
47-27-42-34,0067-001-001,4,YES,YES,8000,NO,,NO,,NO,,NO,,NO,,NO,
33-84-05-95,0067-001-002,2,YES,YES,25000,NO,,NO,,NO,,YES,1500,NO,,NO,
33-84-05-95,0067-001-002,3,YES,YES,28000,NO,,NO,,NO,,NO,,NO,,NO,
13-42-14-49,0067-004-001,1,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,2,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,3,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,4,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,5,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,6,NO,,,,,,,,,,,,,,
13-42-14-49,0067-004-001,7,NO,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,1,NO,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,6,NO,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,10,NO,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,12,NO,,,,,,,,,,,,,,
81-85-31-88,0069-002-001,13,NO,,,,,,,,,,,,,,
91-76-63-44,0071-001-001,1,NO,,,,,,,,,,,,,,
91-76-63-44,0071-001-001,2,NO,,,,,,,,,,,,,,
81-33-13-06,0071-001-003,1,YES,NO,,NO,,NO,,NO,,YES,1800,NO,,NO,
28-76-80-54,0072-001-001,1,NO,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,2,NO,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,5,NO,,,,,,,,,,,,,,
28-76-80-54,0072-001-001,6,NO,,,,,,,,,,,,,,
82-54-53-99,0072-003-001,1,NO,,,,,,,,,,,,,,
82-54-53-99,0072-003-001,2,YES,YES,4000,NO,,NO,,NO,,YES,500,NO,,NO,
82-54-53-99,0072-003-001,3,NO,,,,,,,,,,,,,,
