interview__key,sdd_hhid,cropid,ag5b_01,ag5b_02,ag5b_03,ag5b_04_1,ag5b_04_2,ag5b_05,ag5b_06,ag5b_07_1,ag5b_07_2,ag5b_08,ag5b_09_1,ag5b_09_2,ag5b_10_1,ag5b_10_2,ag5b_11a,ag5b_11_1,ag5b_11_2,ag5b_12,ag5b_13,ag5b_14_1,ag5b_14_2,ag5b_15,ag5b_16_1,ag5b_16_2,ag5b_17_1,ag5b_17_2,ag5b_18,ag5b_19,ag5b_20,ag5b_21,ag5b_22,ag5b_23,ag5b_24,ag5b_25,ag5b_26,ag5b_27,ag5b_28,ag5b_29,ag5b_30,ag5b_31,ag5b_32,ag5b_32a,ag5b_32b,ag5b_32c,ag5b_32d,ag5b_32e,ag5b_33,ag5b_34,ag5b_35,ag5b_36_1a,ag5b_36_1b,ag5b_36_2a,ag5b_36_2b
43-17-73-10,0655-001-001,1,YES,36,16000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,36,16000,FEBRUARY,2019,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,72,18,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
43-17-73-10,0655-001-001,17,YES,40,22000,M/BIASHARA BINAFSI,NDANI YA KIJIJI/MJI,40,22000,MARCH,2019,1,1,,1,2,HAPANA,,,,,,,,,,,,NO,,,,,NO,,,,,,NO,,,,40,20,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
45-08-66-74,0657-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,60,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,60,15,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
45-08-66-74,0657-001-001,14,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,NO,,,,100,0,0,0,0,MULCHED,,,,,,
80-11-06-01,0658-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,54,LOCALLY MADE TRADITIONAL STRUCTURE,NO,,FOOD FOR HOUSEHOLD,NO,,,,72,0,0,18,0,RESIDUE WAS LEFT IN FIELD,,,,,,
80-11-06-01,0658-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,40,LOCALLY MADE TRADITIONAL STRUCTURE,YES,SMOKING,FOOD FOR HOUSEHOLD,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
08-56-07-13,0661-002-001,1,YES,20,14000,SOKO,KARIBU NA KIJIJI,20,14000,MARCH,2018,1,1,2,1,2,HAPANA,,,,,,,,,,,,YES,4,1,MOTORCYCLE,0,YES,80,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,40,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
08-56-07-13,0661-002-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,20,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,20,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-15-35-70,0662-001-001,1,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,10,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,290,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
51-15-35-70,0662-001-001,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,3,SACKS / OPEN DRUM,NO,,FOOD FOR HOUSEHOLD,NO,,,,27,0,0,0,0,RESIDUE WAS LEFT IN FIELD,,,,,,
