interview__key,sdd_hhid,plotnum,cropid,ag6b_02,ag6b_03,ag6b_04,ag6b_05,ag6b_06,ag6b_06a,ag6b_07_1,ag6b_07_2,ag6b_07_3,ag6b_07_4,ag6b_08_1,ag6b_08_2,ag6b_09,ag6b_10,ag6b_11
13-79-88-08,0090-001-001,1,45,30,2014,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,6,NO,
13-79-88-08,0090-001-001,1,48,60,2010,0,NO,,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,1,50,20,2009,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,0,NO,
13-79-88-08,0090-001-001,2,8,60,2018,60,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,2,44,1600,2018,1600,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,2,48,200,2018,200,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,2,50,30,2018,30,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,3,10,1000,2018,1000,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
13-79-88-08,0090-001-001,4,44,2000,2013,50,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,JULY,2019,JUNE,1,2,1050,NO,
18-41-40-51,0093-001-001,1,48,34,1998,0,NO,,NDIYO,2018,APRIL,2018,JULY,1,,500,NO,
70-24-33-41,0096-001-001,3,30,1,2018,0,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
93-47-38-83,0097-001-003,2,30,7,2014,0,NO,,HAPANA,,,,,,,,,
89-69-28-73,0099-001-001,2,10,66,2019,66,NO,,NDIYO,2019,JULY,2019,SEPTEMBER,1,2,25,NO,
42-94-75-73,0099-008-001,1,31,5,2010,0,NO,,HAPANA,,,,,,,,,
61-86-51-55,0104-001-001,1,44,66,1997,0,NO,,NDIYO,2018,SEPTEMBER,2019,AUGUST,2,,160,YES,THEFT
03-36-44-51,0105-005-001,2,10,1450,2018,0,NO,,NDIYO,2018,SEPTEMBER,2019,FEBRUARY,1,2,150,NO,
72-82-51-97,0106-001-003,2,20,10,2019,10,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
72-82-51-97,0106-001-003,3,10,60,2018,60,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
72-82-51-97,0106-001-003,3,44,65,2018,35,YES,SUBSTITUTE IF EITHER CROP FAILS,HAPANA,,,,,,,,,
47-69-21-93,0109-001-001,2,29,5,1992,0,YES,SUBSTITUTE IF EITHER CROP FAILS,NDIYO,2018,AUGUST,2019,JULY,1,,60,NO,
