sdd_hhid,sdd_rural,t0_region,t0_district,hh_c14,hh_c15
0354-001-001,RURAL,MTWARA,NEWALA,OTHER (SPECIFY),7.0
0357-001-001,RURAL,MTWARA,NEWALA,ON FOOT,30.0
0358-001-001,RURAL,MTWARA,NEWALA,ON FOOT,5.0
0359-001-001,URBAN,MTWARA,NEWALA,ON FOOT,10.0
0360-001-001,URBAN,MTWARA,MASASI URBAN,ON FOOT,30.0
0360-001-001,URBAN,MTWARA,MASASI URBAN,ON FOOT,15.0
0361-001-001,RURAL,MTWARA,NEWALA,ON FOOT,7.0
0361-001-001,RURAL,MTWARA,NEWALA,ON FOOT,5.0
0363-001-001,URBAN,DAR ES SALAAM,TEMEKE,BY PUBLIC VEHICLE/MINIBUS,120.0
0363-001-001,URBAN,DAR ES SALAAM,TEMEKE,ON FOOT,15.0
0363-001-001,URBAN,DAR ES SALAAM,TEMEKE,ON FOOT,15.0
0364-001-001,RURAL,MTWARA,NEWALA,ON FOOT,15.0
0368-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,10.0
0372-001-001,URBAN,DAR ES SALAAM,KINONDONI,BY PUBLIC VEHICLE/MINIBUS,60.0
0373-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,15.0
0374-001-001,URBAN,MWANZA,ILEMELA,ON FOOT,10.0
0374-001-001,URBAN,MWANZA,ILEMELA,ON FOOT,10.0
0376-001-001,RURAL,MOROGORO,MVOMERO,ON FOOT,6.0
0377-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,15.0
0378-003-001,RURAL,LINDI,NACHINGWEA,ON FOOT,20.0
0378-003-001,RURAL,LINDI,NACHINGWEA,ON FOOT,30.0
0379-001-001,URBAN,DAR ES SALAAM,ILALA,ON FOOT,5.0
0379-001-001,URBAN,DAR ES SALAAM,ILALA,ON FOOT,60.0
0382-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,5.0
0382-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,5.0
0382-001-001,URBAN,MTWARA,MASASI RURAL,ON FOOT,10.0
0385-001-001,URBAN,DODOMA,DODOMA URBAN,ON FOOT,30.0
0387-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,20.0
0388-005-001,URBAN,MTWARA,MASASI URBAN,ON FOOT,4.0
0389-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,10.0
0391-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,15.0
0393-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,45.0
0393-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,45.0
0394-001-001,RURAL,MTWARA,MASASI RURAL,ON FOOT,15.0
0395-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,30.0
0395-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,30.0
0395-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,30.0
0398-001-003,URBAN,RUVUMA,SONGEA URBAN,ON FOOT,15.0
0399-001-001,URBAN,RUVUMA,SONGEA RURAL,BY PUBLIC VEHICLE/MINIBUS,30.0
0399-001-001,URBAN,RUVUMA,SONGEA RURAL,ON FOOT,70.0
0399-001-001,URBAN,RUVUMA,SONGEA RURAL,ON FOOT,1.0
0400-001-001,URBAN,RUVUMA,SONGEA URBAN,ON FOOT,30.0
0400-001-001,URBAN,RUVUMA,SONGEA URBAN,ON FOOT,15.0
0401-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,45.0
0401-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,30.0
0405-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,90.0
0407-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0408-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,30.0
0408-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,40.0
0408-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,40.0
0409-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,60.0
0409-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,60.0
0411-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,60.0
0411-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,60.0
0411-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,60.0
0414-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,45.0
0416-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,20.0
0418-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0418-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0419-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,1.0
0419-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,1.0
0419-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,1.0
0420-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0421-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0421-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0421-001-001,RURAL,RUVUMA,SONGEA RURAL,ON FOOT,15.0
0422-001-001,URBAN,MBEYA,MBEYA URBAN,ON FOOT,60.0
0422-001-001,URBAN,MBEYA,MBEYA URBAN,ON FOOT,30.0
0422-106-001,RURAL,RUVUMA,NYASA,ON FOOT,60.0
0422-106-001,RURAL,RUVUMA,NYASA,ON FOOT,20.0
0422-106-001,RURAL,RUVUMA,NYASA,ON FOOT,20.0
0422-106-001,RURAL,RUVUMA,NYASA,ON FOOT,20.0
0424-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0426-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0426-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0426-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,10.0
0426-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0427-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,30.0
0427-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,30.0
0427-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,30.0
0428-001-001,URBAN,IRINGA,IRINGA URBAN,BY PUBLIC VEHICLE/MINIBUS,30.0
0428-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,25.0
0430-002-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0431-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,60.0
0431-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,60.0
0432-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0432-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0436-001-001,RURAL,RUVUMA,MBINGA,ON FOOT,1.0
0436-002-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0436-002-001,RURAL,RUVUMA,MBINGA,ON FOOT,15.0
0438-001-002,RURAL,IRINGA,MUFINDI,ON FOOT,5.0
0438-001-002,RURAL,IRINGA,MUFINDI,ON FOOT,5.0
0438-002-001,RURAL,IRINGA,MUFINDI,ON FOOT,30.0
0440-002-001,RURAL,IRINGA,MUFINDI,ON FOOT,30.0
0441-001-001,RURAL,IRINGA,MUFINDI,ON FOOT,20.0
0441-001-001,RURAL,IRINGA,MUFINDI,ON FOOT,15.0
0443-004-001,RURAL,IRINGA,MUFINDI,ON FOOT,20.0
0444-001-001,RURAL,IRINGA,MUFINDI,ON FOOT,30.0
0444-001-001,RURAL,IRINGA,MUFINDI,ON FOOT,30.0
0444-002-001,RURAL,IRINGA,MUFINDI,ON FOOT,20.0
0445-001-002,RURAL,IRINGA,MUFINDI,ON FOOT,60.0
0448-004-001,URBAN,IRINGA,MUFINDI,ON FOOT,5.0
0448-007-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,8.0
0449-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,15.0
0452-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,10.0
0452-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,5.0
0454-002-002,URBAN,IRINGA,IRINGA URBAN,BY PUBLIC VEHICLE/MINIBUS,20.0
0454-002-002,URBAN,IRINGA,IRINGA URBAN,ON FOOT,30.0
0455-001-001,URBAN,IRINGA,IRINGA URBAN,BY PUBLIC VEHICLE/MINIBUS,10.0
0455-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,5.0
0457-001-001,URBAN,IRINGA,IRINGA URBAN,BY PRIVATE CAR/VEHICLE,15.0
0457-001-001,URBAN,IRINGA,IRINGA URBAN,BY PUBLIC VEHICLE/MINIBUS,20.0
0457-001-001,URBAN,IRINGA,IRINGA URBAN,BY PUBLIC VEHICLE/MINIBUS,20.0
0460-001-001,URBAN,DAR ES SALAAM,ILALA,ON FOOT,10.0
0460-001-001,URBAN,DAR ES SALAAM,ILALA,ON FOOT,5.0
0461-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,3.0
0463-001-001,URBAN,IRINGA,IRINGA URBAN,BY PRIVATE CAR/VEHICLE,15.0
0463-001-001,URBAN,IRINGA,IRINGA URBAN,BY PRIVATE CAR/VEHICLE,15.0
0463-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,30.0
0465-001-001,RURAL,DODOMA,MPWAPWA,ON FOOT,40.0
0466-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,120.0
0466-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,1.0
0466-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,60.0
0466-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,60.0
0468-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,15.0
0469-001-001,URBAN,MOROGORO,MOROGORO URBAN,ON FOOT,25.0
0469-001-001,URBAN,MOROGORO,MOROGORO URBAN,OTHER (SPECIFY),60.0
0469-001-001,URBAN,MOROGORO,MOROGORO URBAN,OTHER (SPECIFY),60.0
0470-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,20.0
0470-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,10.0
0470-001-001,URBAN,IRINGA,IRINGA URBAN,ON FOOT,15.0
0472-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,13.0
0474-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0474-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0474-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0477-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0477-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0477-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0478-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0478-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0478-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0481-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,60.0
0483-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0483-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0483-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0484-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0485-001-002,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0487-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0488-002-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0488-002-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0488-002-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0489-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,5.0
0489-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,5.0
0489-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,5.0
0489-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,5.0
0491-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,15.0
0491-002-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0491-004-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,10.0
0492-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,90.0
0492-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,60.0
0492-001-001,RURAL,MBEYA,MBEYA RURAL,ON FOOT,30.0
0493-001-001,URBAN,SINGIDA,IRAMBA,ON FOOT,45.0
0494-001-001,URBAN,SINGIDA,IRAMBA,ON FOOT,10.0
0495-001-001,URBAN,SINGIDA,IRAMBA,ON FOOT,25.0
0497-001-001,URBAN,SINGIDA,IRAMBA,ON FOOT,10.0
